id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
2,"בפיתוח אג'ילי,מהו הסיפור המשתמש?",מסמך עיצוב טכני מפורט,רשימה של כל הבאגים בפרויקט,תיאור קצר של פונקציונליות מנקודת המבט של המשתמש,סדר יום לפגישת הספרינט,C,EASY
3,מהם ראשי התיבות של מפרט דרישות תוכנה בבשפה אנגלית?,סקירת תוכנה ומפרט,מפרט דרישות תוכנה,לוח זמנים לשחרור מערכת,תקן אמינות מערכת,B,EASY
4,איזה תוצר מופק בדרך כלל בשלב הדרישות?,מקרי בדיקה ליחידה,תרשימי מחלקות,מדריך למשתמש,מפרט דרישות תוכנה,D,EASY
5,מה מהבאים מתאר הכי טוב בדיקות קופסה שחורה?,בדיקות המבוססות על המימוש הפנימי של הקוד,בדיקות המתמקדות בקלט ופלט לפי המפרט,בדיקות המבוצעות רק על ידי צוות הפיתוח,בדיקות הבודקות ביצועים בלבד,B,EASY
6,מהי המטרה של סקירת קוד?,לכתוב את הקוד מחדש מאפס,לבדוק סגנון כתיבה בלבד,למצוא פגמים ולשפר את איכות הקוד לפני הבדיקות,למדוד את זמן הריצה של הקוד,C,EASY
7,מה נכון לגבי בדיקות קופסה לבנה?,הן מתעלמות מהמבנה הפנימי של הקוד,הן מבוססות על ממשק המשתמש הגרפי בלבד,הן משתמשות בידע על הלוגיקה הפנימית והנתיבים של התוכנית,הן תמיד מבוצעות על ידי הלקוח,C,MEDIUM
8,בסקראם מי אחראי בעיקר על תעדוף הפריטים ברשימת המוצר?,בעלי עניין,מנחה הסקראם,צוות הפיתוח,בעל המוצר,D,MEDIUM
9,איזה סוג סקירה הוא הרשמי ביותר ובדרך כלל כולל קריטריונים לכניסה ויציאה ותפקידים מתועדים?,סיור מודרך,בדיקה פורמלית,תכנות זוגי,אימות שולחן עבודה לא פורמלי,B,MEDIUM
10,מהי המטרה העיקרית של תרשימי מחלקות בעיצוב ארכיטקטוני או מפורט?,לתאר איך ממשק המשתמש נראה,למדל מחלקות ותכונותיהן ושיטותיהן וקשרים ביניהן,להגדיר ערכי קצה למקרי בדיקה,להציג את תוכנית הפרויקט ולוח הזמנים,B,MEDIUM
11,בדיקה שבודקת התנהגות של מתודה ציבורית אחת במחלקה נחשבת ל:,בדיקת יחידה,בדיקת מערכת,בדיקת קבלה,בדיקת שמישות,A,MEDIUM
12,בהקשר של בדלים ומניעים מהו מניע?,מימוש פשוט של רכיב שנקרא,כלי המנטר ביצועי מערכת כמו ניצול זיכרון,קוד בדיקה הקורא לרכיב הנבדק,בסיס נתונים המשמש לבדיקות אוטומטיות,C,MEDIUM
13,איזו טכניקת עיצוב בדיקות הכי מתאימה למציאת שגיאות בגבולות של טווחי קלט?,חלוקה למחלקות שקילות,ניתוח ערכי גבול,בדיקות מעברי מצב,בדיקות אקראיות,B,HARD
