id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
2,В гибкой разработке — что такое пользовательская история?,Подробный технический проектный документ,Список всех багов в проекте,Краткое описание функционала с точки зрения пользователя,Повестка дня встречи Sprint,C,EASY
3,Какова аббревиатура от Software Requirements Specification на английском языке?,Обзор программного обеспечения и технические характеристики,Спецификация требований к программному обеспечению,График выпуска системы,Стандарт надёжности системы,B,EASY
4,Какой артефакт обычно создается на этапе сбора требований?,Модульные тесты,Диаграммы классов,Руководство пользователя,Спецификация требований к ПО (SRS),D,EASY
5,Что из следующего ЛУЧШЕ ВСЕГО описывает тестирование «черного ящика»?,Тестирование на основе внутренней реализации кода,Тестирование входов и выходов согласно спецификации,Тестирование только командой разработчиков,Тестирование только производительности,B,EASY
6,Какова цель проверки кода (Code Review)?,Переписать код с нуля,Проверить только стиль кодирования,Найти дефекты и улучшить качество кода перед тестированием,Измерить время выполнения кода,C,EASY
7,Что из следующего ВЕРНО для тестирования «белого ящика»?,Оно игнорирует внутреннюю структуру кода,Оно основано только на GUI,Оно использует знание внутренней логики и путей программы,Оно всегда выполняется заказчиком,C,MEDIUM
8,Кто в Scrum в основном отвечает за приоритезацию элементов в бэклоге продукта?,Заинтересованные стороны,Скрам-мастер,Команда разработки,Владелец продукта (Product Owner),D,MEDIUM
9,Какой тип проверки является НАИБОЛЕЕ формальным и обычно имеет документированные критерии и роли?,Сквозной контроль (Walkthrough),Инспекция (Inspection),Парное программирование,Неформальная проверка,B,MEDIUM
10,Какова основная цель диаграмм классов UML в архитектурном дизайне?,Описать внешний вид GUI для пользователя,Моделировать классы их атрибуты методы и отношения,Указать граничные значения для тестов,Показать план проекта и график,B,MEDIUM
11,Тест JUnit проверяющий поведение одного публичного метода класса считается:,Модульным тестом (Unit test),Системным тестом,Приемочным тестом,Тестом юзабилити,A,MEDIUM
12,"В контексте заглушек (stubs) и драйверов, что такое ДРАЙВЕР?",Простая реализация вызываемого компонента (stub),Инструмент мониторинга производительности,Тестовый код который вызывает тестируемый компонент,База данных для автотестов,C,MEDIUM
13,Какая техника тест-дизайна НАИБОЛЕЕ подходит для поиска ошибок на границах диапазонов?,Эквивалентное разбиение,Анализ граничных значений (Boundary Value Analysis),Тестирование переходов состояний,Случайное тестирование,B,HARD
14,Какое утверждение об итерациях (спринтах) в Agile НАИБОЛЕЕ точно?,Итерации происходят только после завершения всех требований,Итерации — это длинные фазы с фиксированным объемом,Каждая итерация создает потенциально готовое к выпуску ПО,Тестирование откладывается до последней итерации,C,MEDIUM
15,Что НЕ является типичным преимуществом непрерывной интеграции (CI)?,Дефекты обнаруживаются раньше,Конфликты слияния уменьшаются,Это устраняет необходимость в модульных тестах,Процессы сборки и тестирования автоматизированы,C,HARD
16,Кто во время Инспекции отвечает за модерацию встречи и ведение процесса?,Чтец,Автор,Модератор,Секретарь,C,MEDIUM
17,Какова основная цель архитектурного проектирования (high-level design)?,Оптимизировать цвета и шрифты GUI,Определить разделение ответственности системы на компоненты и их взаимодействия,Написать подробные тест-кейсы,Оценить бюджет проекта,B,HARD
18,Какая метрика ЛУЧШЕ ВСЕГО показывает что набор тестов JUnit обеспечивает хорошее структурное покрытие?,Большое количество багов найденных клиентами,Высокий процент операторов или ветвей выполненных при запуске тестов,Большое количество протестированных экранов GUI,Низкое время выполнения тестов,B,HARD
19,Функция принимает целое число и ведет себя по-разному в нескольких диапазонах. Какая комбинация дает ЛУЧШЕЕ покрытие?,Только случайное тестирование,Эквивалентное разбиение плюс анализ граничных значений,Только тестирование переходов состояний,Интуитивное тестирование экспертом,B,EXPERT
20,Команда ведет большой проект в Git. Какой процесс минимизирует риск поломки основной ветки?,Коммитить все напрямую в main,Использовать ветки фич и пулл-реквесты с код-ревью,Использовать только одну общую ветку,Копировать код на USB каждый день,B,EXPERT
21,Какая комбинация ЛУЧШЕ ВСЕГО описывает цель приемочных тестов?,Проверка стиля кода и именования,Проверка того что система соответствует требованиям заказчика,Проверка компиляции классов без ошибок,Измерение низкоуровневой производительности,B,EXPERT
22,Какая техника белого ящика помогает систематически покрывать разные логические комбинации?,Покрытие решений или условий (Decision/Condition Coverage),Случайные функциональные тесты,Тестирование удобства использования,Альфа/Бета тестирование,A,EXPERT
23,Какое утверждение о разработке через тестирование (TDD) НАИБОЛЕЕ точно?,Тесты пишутся после полной реализации,TDD поощряет написание тестов перед кодом,TDD полностью устраняет необходимость в дизайне,TDD используется только для GUI,B,EXPERT
24,Критический дефект найден в продакшене. Какое действие НАИБОЛЕЕ подходит для предотвращения повторения?,Добавить больше неформальных чатов,Провести анализ первопричин и улучшить практики тестирования,Попросить разработчиков работать быстрее,Удалить все модульные тесты,B,EXPERT
