2,"In Agile development, what is a User Story",A detailed technical design document,A list of all bugs in the project,A short description of functionality from the user's point of view,A meeting agenda for the sprint,C,EASY
3,SDFDS,WSASDC,EDSFD,DSFD,FDSFW,A,EASY
4,Which artifact is typically produced in the Requirements phase?,Unit test cases,Class diagrams,User manual,Software Requirements Specification (SRS),D,EASY
5,Which of the following BEST describes Black-Box testing?,Testing based on the internal implementation of the code,Testing that focuses on inputs and outputs according to the specification,Testing done only by the development team,Testing that checks performance only,B,EASY
6,What is the goal of a Code Review?,To rewrite the code from scratch,To check coding style only,To find defects and improve code quality before testing,To measure the execution time of the code,C,EASY
7,Which of the following is TRUE about White-Box testing?,It ignores the internal structure of the code,It is based on the GUI only,It uses knowledge of the program's internal logic and paths,It is always done by the customer,C,MEDIUM
8,"In Scrum, who is mainly responsible for prioritizing items in the Product Backlog?",Stakeholders,Scrum Master,Development Team,Product Owner,D,MEDIUM
9,Which review type is the MOST formal and usually has documented entry/exit criteria and roles?,Walkthrough,Inspection,Pair programming,Informal desk check,B,MEDIUM
10,What is the main purpose of UML Class Diagrams in architectural or detailed design?,To describe how the GUI looks to the user,To model classes their attributes methods and relationships,To specify boundary values for test cases,To show the project plan and schedule,B,MEDIUM
11,A JUnit test that checks the behavior of a single public method of a class is mainly considered:,A unit test,A system test,An acceptance test,A usability test,A,MEDIUM
12,"In the context of stubs and drivers, a DRIVER is:",A simple implementation of a called component (stub),A tool that monitors system performance like memory usage,A test code that calls the component under test,A database used for automated testing,C,MEDIUM
13,Which test design technique is MOST suitable to catch errors at the boundaries of input ranges?,Equivalence Partitioning,Boundary Value Analysis,State Transition Testing,Random Testing,B,HARD
14,"In Agile, which statement about iterations (sprints) is MOST accurate?",Iterations happen only after all requirements are finished,Iterations are long phases with fixed scope,Each iteration results in potentially shippable working software,Testing is postponed until the last iteration,C,MEDIUM
15,Which of the following is NOT a typical benefit of Continuous Integration (CI)?,Defects are found earlier,Merge conflicts are reduced,It removes the need for unit tests,Build and test processes are automated,C,HARD
16,"During an Inspection, which role is responsible for moderating the meeting and keeping it on track?",Reader,Author,Moderator,Recorder,C,MEDIUM
17,What is the main goal of architectural design (high-level design)?,To optimize the GUI colors and fonts,To define how system responsibilities are divided into components and their interactions,To write detailed test cases,To estimate the project budget,B,HARD
18,Which metric BEST indicates that a JUnit test suite provides good structural coverage?,High number of bugs found by customers,High percentage of statements or branches executed during test run,High number of GUI screens tested,Low execution time of the tests,B,HARD
19,You have a function that receives an integer and behaves differently in several ranges. Which combination gives the BEST functional coverage?,Random Testing only,Equivalence Partitioning plus Boundary Value Analysis,State Transition Testing only,Ad-hoc Testing by an expert tester,B,EXPERT
20,A team maintains a large project using Git. Which workflow minimizes the risk of breaking the main branch?,Commit everything directly to main,Use feature branches and pull requests with code review,Use only one shared branch for all work,Push code to a USB backup every day,B,EXPERT
21,Which combination BEST describes the purpose of Acceptance Tests?,Verify code style and naming conventions,Verify that the system meets the customer's requirements,Check that each class compiles without errors,Measure low-level algorithm performance only,B,EXPERT
22,Which White-Box technique helps to systematically cover different logical combinations?,Decision or Condition Coverage,Random functional tests,Usability testing,Alpha/Beta testing,A,EXPERT
23,Which statement about Test-Driven Development (TDD) is MOST accurate?,Tests are written after full implementation,TDD encourages writing tests first and then code,TDD eliminates the need for design completely,TDD is used only for GUI testing,B,EXPERT
24,A serious defect was found in production. What activity is MOST suitable to prevent recurrence?,Adding more informal chats,Performing root-cause analysis and improving test practices,Asking developers to work faster,Removing all unit tests,B,EXPERT
