id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
2,في تطوير الأجايل، ما هي قصة المستخدم؟,وثيقة التصميم الفني التفصيلية,قائمة جميع الأخطاء في المشروع,وصف موجز للوظيفة من منظور المستخدم,جدول أعمال اجتماع السبرينت,C,EASY
3,ما هو اختصار مواصفات متطلبات البرمجيات في اللغة الإنجليزية؟,مراجعة البرمجيات والمواصفات,مواصفات متطلبات البرمجيات,جدول إصدار النظام,معيار موثوقية النظام,B,EASY
4,أي أداة (Artifact) يتم إنتاجها عادةً في مرحلة المتطلبات؟,حالات اختبار الوحدة,مخططات الفئات,دليل المستخدم,مواصفات متطلبات البرمجيات (SRS),D,EASY
5,أي مما يلي يصف اختبار الصندوق الأسود بشكل أفضل؟,اختبار يعتمد على التنفيذ الداخلي للكود,اختبار يركز على المدخلات والمخرجات وفقًا للمواصفات,اختبار يتم فقط بواسطة فريق التطوير,اختبار يتحقق من الأداء فقط,B,EASY
6,ما هو الهدف من مراجعة الكود (Code Review)؟,إعادة كتابة الكود من الصفر,للتحقق من أسلوب الترميز فقط,للعثور على العيوب وتحسين جودة الكود قبل الاختبار,لقياس وقت تنفيذ الكود,C,EASY
7,أي مما يلي صحيح حول اختبار الصندوق الأبيض؟,يتجاهل الهيكل الداخلي للكود,يعتمد على واجهة المستخدم الرسومية فقط,يستخدم معرفة المنطق الداخلي للبرنامج ومساراته,يتم دائمًا بواسطة العميل,C,MEDIUM
8,في Scrum، من هو المسؤول الرئيسي عن تحديد أولويات العناصر في تراكم المنتج (Product Backlog)؟,أصحاب المصلحة,سكروم ماستر,فريق التطوير,مالك المنتج (Product Owner),D,MEDIUM
9,أي نوع من المراجعة هو الأكثر رسمية وله عادةً معايير دخول/خروج وأدوار موثقة؟,تجول (Walkthrough),فحص (Inspection),البرمجة الزوجية,فحص مكتبي غير رسمي,B,MEDIUM
10,ما هو الغرض الرئيسي من مخططات الفئات (UML Class Diagrams) في التصميم المعماري أو التفصيلي؟,لوصف كيف تبدو واجهة المستخدم للمستخدم,لنمذجة الفئات وسماتها وطرقها وعلاقاتها,لتحديد القيم الحدية لحالات الاختبار,لإظهار خطة المشروع والجدول الزمني,B,MEDIUM
11,اختبار JUnit الذي يتحقق من سلوك طريقة عامة واحدة لفئة يعتبر بشكل أساسي:,اختبار وحدة (Unit test),اختبار نظام,اختبار قبول,اختبار قابلية الاستخدام,A,MEDIUM
