id,text,optionA,optionB,optionC,optionD,correctOption,difficultyLevel
2,"בפיתוח אג'ילי (Agile), מהו סיפור משתמש (User Story)?",מסמך עיצוב טכני מפורט,רשימה של כל הבאגים בפרויקט,תיאור קצר של פונקציונליות מנקודת המבט של המשתמש,סדר יום לפגישת ה-Sprint,C,EASY
3,מהם ראשי התיבות של SRS?,Software Review Specification,Software Requirements Specification,System Release Schedule,System Reliability Standard,B,EASY
4,איזה תוצר (Artifact) מופק בדרך כלל בשלב הדרישות?,מקרי בדיקה ליחידה (Unit Tests),תרשימי מחלקות (Class Diagrams),מדריך למשתמש,מפרט דרישות תוכנה (SRS),D,EASY
5,מה מהבאים מתאר הכי טוב בדיקות קופסה שחורה (Black-Box)?,בדיקות המבוססות על המימוש הפנימי של הקוד,בדיקות המתמקדות בקלט ופלט לפי המפרט,בדיקות המבוצעות רק על ידי צוות הפיתוח,בדיקות הבודקות ביצועים בלבד,B,EASY
6,מהי המטרה של סקירת קוד (Code Review)?,לכתוב את הקוד מחדש מאפס,לבדוק סגנון כתיבה בלבד,למצוא פגמים ולשפר את איכות הקוד לפני הבדיקות,למדוד את זמן הריצה של הקוד,C,EASY
7,מה נכון לגבי בדיקות קופסה לבנה (White-Box)?,הן מתעלמות מהמבנה הפנימי של הקוד,הן מבוססות על ממשק המשתמש (GUI) בלבד,הן משתמשות בידע על הלוגיקה הפנימית והנתיבים של התוכנית,הן תמיד מבוצעות על ידי הלקוח,C,MEDIUM
9,איזה סוג סקירה הוא הרשמי ביותר וכולל בדרך כלל קריטריוני כניסה/יציאה ותפקידים מוגדרים?,Walkthrough,Inspection,Pair programming,Informal desk check,B,MEDIUM
10,מהי המטרה העיקרית של תרשימי מחלקות UML בעיצוב ארכיטקטוני או מפורט?,לתאר איך ממשק המשתמש נראה,למדל מחלקות ותכונותיהן וקשרים ביניהן,להגדיר ערכי קצה למקרי בדיקה,להציג את תוכנית הפרויקט ולוח הזמנים,B,MEDIUM
11,בדיקת JUnit שבודקת התנהגות של מתודה ציבורית אחת במחלקה נחשבת ל:,בדיקת יחידה (Unit Test),בדיקת מערכת,בדיקת קבלה,בדיקת שמישות,A,MEDIUM
12,"בהקשר של Stubs ו-Drivers, מהו DRIVER?",מימוש פשוט של רכיב שנקרא (Stub),כלי המנטר ביצועי מערכת כמו ניצול זיכרון,קוד בדיקה הקורא לרכיב הנבדק,בסיס נתונים המשמש לבדיקות אוטומטיות,C,MEDIUM
13,איזו טכניקת עיצוב בדיקות הכי מתאימה למציאת שגיאות בגבולות של טווחי קלט?,Equivalence Partitioning,Boundary Value Analysis,State Transition Testing,Random Testing,B,HARD
14,"ב-Agile, איזו הצהרה לגבי איטרציות (Sprints) היא הכי מדויקת?",איטרציות קורות רק אחרי שכל הדרישות הסתיימו,איטרציות הן שלבים ארוכים עם היקף קבוע,כל איטרציה מסתיימת בתוכנה עובדת שניתן לספק,הבדיקות נדחות לאיטרציה האחרונה,C,MEDIUM
15,מה מהבאים אינו יתרון טיפוסי של אינטגרציה רציפה (CI)?,פגמים נמצאים מוקדם יותר,קונפליקטים במיזוג קוד מופחתים,זה מבטל את הצורך בבדיקות יחידה,תהליכי בנייה ובדיקה הם אוטומטיים,C,HARD
16,"במהלך Inspection, איזה תפקיד אחראי על ניהול הפגישה ושמירה על המיקוד?",Reader,Author,Moderator,Recorder,C,MEDIUM
17,מהי המטרה העיקרית של עיצוב ארכיטקטוני (High-level design)?,לאופטימיזציה של צבעי ממשק המשתמש וגופנים,להגדיר כיצד אחריות המערכת מחולקת לרכיבים והאינטראקציות ביניהם,לכתוב מקרי בדיקה מפורטים,להעריך את תקציב הפרויקט,B,HARD
18,איזה מדד מעיד הכי טוב על כך שסט בדיקות JUnit מספק כיסוי מבני טוב?,מספר גבוה של באגים שנמצאו על ידי לקוחות,אחוז גבוה של משפטים או ענפים שבוצעו במהלך הריצה,מספר גבוה של מסכי ממשק משתמש שנבדקו,זמן ריצה נמוך של הבדיקות,B,HARD
19,יש לך פונקציה שמקבלת מספר שלם ומתנהגת אחרת בטווחים שונים. איזה שילוב נותן את הכיסוי הפונקציונלי הטוב ביותר?,בדיקות אקראיות בלבד,Equivalence Partitioning בשילוב Boundary Value Analysis,State Transition Testing בלבד,בדיקות Ad-hoc על ידי בודק מומחה,B,EXPERT
20,צוות מתחזק פרויקט גדול ב-Git. איזה תהליך עבודה ממזער את הסיכון לשבירת הענף הראשי?,ביצוע Commit להכל ישירות ל-Main,שימוש בענפי פיצ'ר (Feature branches) ו-Pull Requests עם סקירת קוד,שימוש בענף משותף אחד בלבד לכל העבודה,דחיפת קוד לגיבוי USB בכל יום,B,EXPERT
21,איזה שילוב מתאר הכי טוב את המטרה של בדיקות קבלה (Acceptance Tests)?,אימות סגנון הקוד ומוסכמות שיום,אימות שהמערכת עומדת בדרישות הלקוח,בדיקה שכל מחלקה מתקמפלת ללא שגיאות,מדידת ביצועי אלגוריתמים ברמה נמוכה בלבד,B,EXPERT
